"film_id","title","release_year","name"
1,"Academy Dinosaur",2006,"English             "
1,"Academy Dinosaur",2006,"Italian             "
1,"Academy Dinosaur",2006,"Japanese            "
1,"Academy Dinosaur",2006,"Mandarin            "
1,"Academy Dinosaur",2006,"French              "
1,"Academy Dinosaur",2006,"German              "
2,"Ace Goldfinger",2006,"English             "
2,"Ace Goldfinger",2006,"Italian             "
2,"Ace Goldfinger",2006,"Japanese            "
2,"Ace Goldfinger",2006,"Mandarin            "
2,"Ace Goldfinger",2006,"French              "
2,"Ace Goldfinger",2006,"German              "
3,"Adaptation Holes",2006,"English             "
3,"Adaptation Holes",2006,"Italian             "
3,"Adaptation Holes",2006,"Japanese            "
3,"Adaptation Holes",2006,"Mandarin            "
3,"Adaptation Holes",2006,"French              "
3,"Adaptation Holes",2006,"German              "
4,"Affair Prejudice",2006,"English             "
4,"Affair Prejudice",2006,"Italian             "
4,"Affair Prejudice",2006,"Japanese            "
4,"Affair Prejudice",2006,"Mandarin            "
4,"Affair Prejudice",2006,"French              "
4,"Affair Prejudice",2006,"German              "
5,"African Egg",2006,"English             "
5,"African Egg",2006,"Italian             "
5,"African Egg",2006,"Japanese            "
5,"African Egg",2006,"Mandarin            "
5,"African Egg",2006,"French              "
5,"African Egg",2006,"German              "
6,"Agent Truman",2006,"English             "
6,"Agent Truman",2006,"Italian             "
6,"Agent Truman",2006,"Japanese            "
6,"Agent Truman",2006,"Mandarin            "
6,"Agent Truman",2006,"French              "
6,"Agent Truman",2006,"German              "
7,"Airplane Sierra",2006,"English             "
7,"Airplane Sierra",2006,"Italian             "
7,"Airplane Sierra",2006,"Japanese            "
7,"Airplane Sierra",2006,"Mandarin            "
7,"Airplane Sierra",2006,"French              "
7,"Airplane Sierra",2006,"German              "
8,"Airport Pollock",2006,"English             "
8,"Airport Pollock",2006,"Italian             "
8,"Airport Pollock",2006,"Japanese            "
8,"Airport Pollock",2006,"Mandarin            "
8,"Airport Pollock",2006,"French              "
8,"Airport Pollock",2006,"German              "
9,"Alabama Devil",2006,"English             "
9,"Alabama Devil",2006,"Italian             "
9,"Alabama Devil",2006,"Japanese            "
9,"Alabama Devil",2006,"Mandarin            "
9,"Alabama Devil",2006,"French              "
9,"Alabama Devil",2006,"German              "
10,"Aladdin Calendar",2006,"English             "
10,"Aladdin Calendar",2006,"Italian             "
10,"Aladdin Calendar",2006,"Japanese            "
10,"Aladdin Calendar",2006,"Mandarin            "
10,"Aladdin Calendar",2006,"French              "
10,"Aladdin Calendar",2006,"German              "
11,"Alamo Videotape",2006,"English             "
11,"Alamo Videotape",2006,"Italian             "
11,"Alamo Videotape",2006,"Japanese            "
11,"Alamo Videotape",2006,"Mandarin            "
11,"Alamo Videotape",2006,"French              "
11,"Alamo Videotape",2006,"German              "
12,"Alaska Phantom",2006,"English             "
12,"Alaska Phantom",2006,"Italian             "
12,"Alaska Phantom",2006,"Japanese            "
12,"Alaska Phantom",2006,"Mandarin            "
12,"Alaska Phantom",2006,"French              "
12,"Alaska Phantom",2006,"German              "
13,"Ali Forever",2006,"English             "
13,"Ali Forever",2006,"Italian             "
13,"Ali Forever",2006,"Japanese            "
13,"Ali Forever",2006,"Mandarin            "
13,"Ali Forever",2006,"French              "
13,"Ali Forever",2006,"German              "
14,"Alice Fantasia",2006,"English             "
14,"Alice Fantasia",2006,"Italian             "
14,"Alice Fantasia",2006,"Japanese            "
14,"Alice Fantasia",2006,"Mandarin            "
14,"Alice Fantasia",2006,"French              "
14,"Alice Fantasia",2006,"German              "
15,"Alien Center",2006,"English             "
15,"Alien Center",2006,"Italian             "
15,"Alien Center",2006,"Japanese            "
15,"Alien Center",2006,"Mandarin            "
15,"Alien Center",2006,"French              "
15,"Alien Center",2006,"German              "
16,"Alley Evolution",2006,"English             "
16,"Alley Evolution",2006,"Italian             "
16,"Alley Evolution",2006,"Japanese            "
16,"Alley Evolution",2006,"Mandarin            "
16,"Alley Evolution",2006,"French              "
16,"Alley Evolution",2006,"German              "
17,"Alone Trip",2006,"English             "
17,"Alone Trip",2006,"Italian             "
17,"Alone Trip",2006,"Japanese            "
17,"Alone Trip",2006,"Mandarin            "
17,"Alone Trip",2006,"French              "
17,"Alone Trip",2006,"German              "
18,"Alter Victory",2006,"English             "
18,"Alter Victory",2006,"Italian             "
18,"Alter Victory",2006,"Japanese            "
18,"Alter Victory",2006,"Mandarin            "
18,"Alter Victory",2006,"French              "
18,"Alter Victory",2006,"German              "
19,"Amadeus Holy",2006,"English             "
19,"Amadeus Holy",2006,"Italian             "
19,"Amadeus Holy",2006,"Japanese            "
19,"Amadeus Holy",2006,"Mandarin            "
19,"Amadeus Holy",2006,"French              "
19,"Amadeus Holy",2006,"German              "
20,"Amelie Hellfighters",2006,"English             "
20,"Amelie Hellfighters",2006,"Italian             "
20,"Amelie Hellfighters",2006,"Japanese            "
20,"Amelie Hellfighters",2006,"Mandarin            "
20,"Amelie Hellfighters",2006,"French              "
20,"Amelie Hellfighters",2006,"German              "
21,"American Circus",2006,"English             "
21,"American Circus",2006,"Italian             "
21,"American Circus",2006,"Japanese            "
21,"American Circus",2006,"Mandarin            "
21,"American Circus",2006,"French              "
21,"American Circus",2006,"German              "
22,"Amistad Midsummer",2006,"English             "
22,"Amistad Midsummer",2006,"Italian             "
22,"Amistad Midsummer",2006,"Japanese            "
22,"Amistad Midsummer",2006,"Mandarin            "
22,"Amistad Midsummer",2006,"French              "
22,"Amistad Midsummer",2006,"German              "
23,"Anaconda Confessions",2006,"English             "
23,"Anaconda Confessions",2006,"Italian             "
23,"Anaconda Confessions",2006,"Japanese            "
23,"Anaconda Confessions",2006,"Mandarin            "
23,"Anaconda Confessions",2006,"French              "
23,"Anaconda Confessions",2006,"German              "
24,"Analyze Hoosiers",2006,"English             "
24,"Analyze Hoosiers",2006,"Italian             "
24,"Analyze Hoosiers",2006,"Japanese            "
24,"Analyze Hoosiers",2006,"Mandarin            "
24,"Analyze Hoosiers",2006,"French              "
24,"Analyze Hoosiers",2006,"German              "
25,"Angels Life",2006,"English             "
25,"Angels Life",2006,"Italian             "
25,"Angels Life",2006,"Japanese            "
25,"Angels Life",2006,"Mandarin            "
25,"Angels Life",2006,"French              "
25,"Angels Life",2006,"German              "
26,"Annie Identity",2006,"English             "
26,"Annie Identity",2006,"Italian             "
26,"Annie Identity",2006,"Japanese            "
26,"Annie Identity",2006,"Mandarin            "
26,"Annie Identity",2006,"French              "
26,"Annie Identity",2006,"German              "
27,"Anonymous Human",2006,"English             "
27,"Anonymous Human",2006,"Italian             "
27,"Anonymous Human",2006,"Japanese            "
27,"Anonymous Human",2006,"Mandarin            "
27,"Anonymous Human",2006,"French              "
27,"Anonymous Human",2006,"German              "
28,"Anthem Luke",2006,"English             "
28,"Anthem Luke",2006,"Italian             "
28,"Anthem Luke",2006,"Japanese            "
28,"Anthem Luke",2006,"Mandarin            "
28,"Anthem Luke",2006,"French              "
28,"Anthem Luke",2006,"German              "
29,"Antitrust Tomatoes",2006,"English             "
29,"Antitrust Tomatoes",2006,"Italian             "
29,"Antitrust Tomatoes",2006,"Japanese            "
29,"Antitrust Tomatoes",2006,"Mandarin            "
29,"Antitrust Tomatoes",2006,"French              "
29,"Antitrust Tomatoes",2006,"German              "
30,"Anything Savannah",2006,"English             "
30,"Anything Savannah",2006,"Italian             "
30,"Anything Savannah",2006,"Japanese            "
30,"Anything Savannah",2006,"Mandarin            "
30,"Anything Savannah",2006,"French              "
30,"Anything Savannah",2006,"German              "
31,"Apache Divine",2006,"English             "
31,"Apache Divine",2006,"Italian             "
31,"Apache Divine",2006,"Japanese            "
31,"Apache Divine",2006,"Mandarin            "
31,"Apache Divine",2006,"French              "
31,"Apache Divine",2006,"German              "
32,"Apocalypse Flamingos",2006,"English             "
32,"Apocalypse Flamingos",2006,"Italian             "
32,"Apocalypse Flamingos",2006,"Japanese            "
32,"Apocalypse Flamingos",2006,"Mandarin            "
32,"Apocalypse Flamingos",2006,"French              "
32,"Apocalypse Flamingos",2006,"German              "
33,"Apollo Teen",2006,"English             "
33,"Apollo Teen",2006,"Italian             "
33,"Apollo Teen",2006,"Japanese            "
33,"Apollo Teen",2006,"Mandarin            "
33,"Apollo Teen",2006,"French              "
33,"Apollo Teen",2006,"German              "
34,"Arabia Dogma",2006,"English             "
34,"Arabia Dogma",2006,"Italian             "
34,"Arabia Dogma",2006,"Japanese            "
34,"Arabia Dogma",2006,"Mandarin            "
34,"Arabia Dogma",2006,"French              "
34,"Arabia Dogma",2006,"German              "
35,"Arachnophobia Rollercoaster",2006,"English             "
35,"Arachnophobia Rollercoaster",2006,"Italian             "
35,"Arachnophobia Rollercoaster",2006,"Japanese            "
35,"Arachnophobia Rollercoaster",2006,"Mandarin            "
35,"Arachnophobia Rollercoaster",2006,"French              "
35,"Arachnophobia Rollercoaster",2006,"German              "
36,"Argonauts Town",2006,"English             "
36,"Argonauts Town",2006,"Italian             "
36,"Argonauts Town",2006,"Japanese            "
36,"Argonauts Town",2006,"Mandarin            "
36,"Argonauts Town",2006,"French              "
36,"Argonauts Town",2006,"German              "
37,"Arizona Bang",2006,"English             "
37,"Arizona Bang",2006,"Italian             "
37,"Arizona Bang",2006,"Japanese            "
37,"Arizona Bang",2006,"Mandarin            "
37,"Arizona Bang",2006,"French              "
37,"Arizona Bang",2006,"German              "
38,"Ark Ridgemont",2006,"English             "
38,"Ark Ridgemont",2006,"Italian             "
38,"Ark Ridgemont",2006,"Japanese            "
38,"Ark Ridgemont",2006,"Mandarin            "
38,"Ark Ridgemont",2006,"French              "
38,"Ark Ridgemont",2006,"German              "
39,"Armageddon Lost",2006,"English             "
39,"Armageddon Lost",2006,"Italian             "
39,"Armageddon Lost",2006,"Japanese            "
39,"Armageddon Lost",2006,"Mandarin            "
39,"Armageddon Lost",2006,"French              "
39,"Armageddon Lost",2006,"German              "
40,"Army Flintstones",2006,"English             "
40,"Army Flintstones",2006,"Italian             "
40,"Army Flintstones",2006,"Japanese            "
40,"Army Flintstones",2006,"Mandarin            "
40,"Army Flintstones",2006,"French              "
40,"Army Flintstones",2006,"German              "
41,"Arsenic Independence",2006,"English             "
41,"Arsenic Independence",2006,"Italian             "
41,"Arsenic Independence",2006,"Japanese            "
41,"Arsenic Independence",2006,"Mandarin            "
41,"Arsenic Independence",2006,"French              "
41,"Arsenic Independence",2006,"German              "
42,"Artist Coldblooded",2006,"English             "
42,"Artist Coldblooded",2006,"Italian             "
42,"Artist Coldblooded",2006,"Japanese            "
42,"Artist Coldblooded",2006,"Mandarin            "
42,"Artist Coldblooded",2006,"French              "
42,"Artist Coldblooded",2006,"German              "
43,"Atlantis Cause",2006,"English             "
43,"Atlantis Cause",2006,"Italian             "
43,"Atlantis Cause",2006,"Japanese            "
43,"Atlantis Cause",2006,"Mandarin            "
43,"Atlantis Cause",2006,"French              "
43,"Atlantis Cause",2006,"German              "
44,"Attacks Hate",2006,"English             "
44,"Attacks Hate",2006,"Italian             "
44,"Attacks Hate",2006,"Japanese            "
44,"Attacks Hate",2006,"Mandarin            "
44,"Attacks Hate",2006,"French              "
44,"Attacks Hate",2006,"German              "
45,"Attraction Newton",2006,"English             "
45,"Attraction Newton",2006,"Italian             "
45,"Attraction Newton",2006,"Japanese            "
45,"Attraction Newton",2006,"Mandarin            "
45,"Attraction Newton",2006,"French              "
45,"Attraction Newton",2006,"German              "
46,"Autumn Crow",2006,"English             "
46,"Autumn Crow",2006,"Italian             "
46,"Autumn Crow",2006,"Japanese            "
